fbref_id,Player,Season_End_Year,pos_primary,age_y,std_Min_Playing,Squads,Comps,eligible,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,style,style_confidence,score_style,ability,fut_year,fut_ability,survived
c3fd9887,Vedad Ibišević,2020,FW,34.0,1257.0,Hertha BSC,Bundesliga,True,62.2,24.2,34.9,37.5,48.6,45.3,연결형 공격수,0.65,40.7,43.0,,,0
c40b6180,Adam Webster,2020,DF,24.0,2668.0,Brighton,Premier League,True,63.7,60.5,37.5,43.5,73.7,59.4,스토퍼,0.73,63.8,61.6,2023.0,51.6,1
c414df9d,Mattia Valoti,2018,MF,23.0,1577.0,Hellas Verona,Serie A,True,59.5,34.3,19.6,32.8,71.5,40.4,수비형 파괴자,1.26,53.1,46.8,2020.0,52.4,1
c414df9d,Mattia Valoti,2019,MF,24.0,1222.0,SPAL,Serie A,True,47.2,52.1,29.4,40.2,74.1,47.7,수비형 파괴자,0.46,58.7,53.2,,,0
c414df9d,Mattia Valoti,2020,MF,25.0,1527.0,SPAL,Serie A,True,65.2,52.0,54.7,30.4,63.0,51.8,수비형 파괴자,0.51,52.9,52.4,,,0
c46fa34c,Youssef Aït Bennasser,2018,MF,21.0,2047.0,Caen,Ligue 1,True,20.4,64.4,22.8,56.1,48.6,45.4,딥 플레이메이커,0.53,47.3,46.3,,,0
c46fa34c,Youssef Aït Bennasser,2019,MF,22.0,2009.0,Monaco / Saint-Étienne,Ligue 1,True,20.8,56.1,34.4,62.4,49.3,46.7,딥 플레이메이커,0.03,49.5,48.1,,,0
c47541e0,Bertrand Traoré,2018,FW,21.0,2284.0,Lyon,Ligue 1,True,66.1,78.0,75.2,57.9,73.7,70.3,돌파형 윙어,0.67,72.9,71.6,2021.0,53.8,1
c47541e0,Bertrand Traoré,2019,MF,22.0,2117.0,Lyon,Ligue 1,True,78.6,75.2,83.0,33.6,23.1,61.1,공격형 MF,0.35,71.8,66.4,2021.0,53.8,1
c47541e0,Bertrand Traoré,2020,MF,23.0,1253.0,Lyon,Ligue 1,True,79.7,65.2,80.2,18.2,52.5,59.1,공격형 MF,0.6,68.7,63.9,,,0
c4b8bcf4,Charles,2018,FW,33.0,1582.0,Eibar,La Liga,True,54.2,34.5,37.0,46.7,46.5,45.3,박스 포처,0.09,48.2,46.8,2020.0,29.4,1
c4b8bcf4,Charles,2019,FW,34.0,1739.0,Eibar,La Liga,True,53.4,48.1,26.6,43.9,60.3,46.7,타겟맨,0.52,51.0,48.8,,,0
c4b8bcf4,Charles,2020,FW,35.0,1301.0,Eibar,La Liga,True,27.9,14.6,16.2,39.8,51.0,26.4,타겟맨,0.31,32.4,29.4,,,0
c4bbea9f,Vitorino Hilton,2018,DF,39.0,2430.0,Montpellier,Ligue 1,True,60.3,40.7,44.5,56.0,52.3,50.5,빌드업 수비수,0.78,49.0,49.8,2021.0,47.2,1
c4bbea9f,Vitorino Hilton,2019,DF,40.0,3232.0,Montpellier,Ligue 1,True,55.0,36.1,37.7,58.8,56.6,51.1,스토퍼,0.45,54.7,52.9,2021.0,47.2,1
c4bbea9f,Vitorino Hilton,2020,DF,41.0,2510.0,Montpellier,Ligue 1,True,52.3,52.6,52.4,58.7,62.4,58.0,스토퍼,0.48,60.0,59.0,,,0
c4e87b8b,Wout Weghorst,2019,FW,25.0,2925.0,Wolfsburg,Bundesliga,True,62.3,32.3,36.0,42.5,59.0,48.7,연결형 공격수,0.49,44.0,46.4,2022.0,43.6,1
c4e87b8b,Wout Weghorst,2020,FW,26.0,2739.0,Wolfsburg,Bundesliga,True,62.0,54.3,54.8,25.3,54.2,54.6,연결형 공격수,0.1,52.0,53.3,2022.0,43.6,1
c50281a0,Lars Bender,2018,DF,28.0,1595.0,Leverkusen,Bundesliga,True,89.2,79.4,90.7,40.9,66.3,66.2,공격형 풀백,0.66,74.8,70.5,2021.0,60.0,1
c50281a0,Lars Bender,2019,MF,29.0,1361.0,Leverkusen,Bundesliga,True,45.8,59.8,45.2,59.2,81.4,57.9,수비형 파괴자,1.21,69.0,63.4,2021.0,60.0,1
c50281a0,Lars Bender,2020,DF,30.0,1373.0,Leverkusen,Bundesliga,True,69.4,83.0,74.9,49.6,56.3,62.5,공격형 풀백,0.2,69.3,65.9,,,0
c50e5bba,Douglas Santos,2018,DF,23.0,2378.0,Hamburger SV,Bundesliga,True,66.0,79.7,76.6,14.3,67.9,57.6,공격형 풀백,1.01,65.4,61.5,,,0
c53083ad,Bryan Dabo,2018,MF,25.0,1875.0,Saint-Étienne / Fiorentina,Ligue 1 / Serie A,True,40.1,45.4,33.3,35.4,57.7,42.0,볼 운반형,0.47,42.2,42.1,2021.0,52.8,1
c53083ad,Bryan Dabo,2020,MF,27.0,1122.0,SPAL,Serie A,True,47.3,50.0,40.7,56.4,48.2,48.8,볼 운반형,0.19,48.7,48.8,,,0
c56dc39e,Rafael Tolói,2018,DF,26.0,2445.0,Atalanta,Serie A,True,73.9,77.5,63.8,53.2,58.9,62.4,빌드업 수비수,0.09,65.0,63.7,2021.0,58.8,1
c56dc39e,Rafael Tolói,2019,DF,27.0,1746.0,Atalanta,Serie A,True,82.2,76.7,66.4,57.6,45.3,58.6,빌드업 수비수,0.87,63.9,61.2,2022.0,64.0,1
c56dc39e,Rafael Tolói,2020,DF,28.0,2608.0,Atalanta,Serie A,True,86.0,76.0,69.2,49.5,60.9,63.2,빌드업 수비수,0.17,64.9,64.1,2022.0,64.0,1
c58270f8,Souleymane Camara,2018,FW,34.0,934.0,Montpellier,Ligue 1,True,36.7,40.0,46.7,38.2,51.2,41.0,타겟맨,0.01,41.8,41.4,,,0
c596fcb0,Callum Wilson,2018,FW,25.0,1981.0,Bournemouth,Premier League,True,51.6,40.9,41.6,27.4,38.2,43.7,타겟맨,0.04,43.7,43.7,2021.0,44.8,1
c596fcb0,Callum Wilson,2019,FW,26.0,2528.0,Bournemouth,Premier League,True,76.2,33.4,62.6,20.4,24.9,54.2,박스 포처,0.35,59.2,56.7,2022.0,27.4,1
c596fcb0,Callum Wilson,2020,FW,27.0,2908.0,Bournemouth,Premier League,True,37.2,34.3,27.7,20.4,25.8,31.9,타겟맨,0.25,31.4,31.6,2022.0,27.4,1
c5a500ca,Max Gradel,2018,MF,29.0,2415.0,Toulouse,Ligue 1,True,68.6,69.4,66.0,8.5,34.2,51.2,공격형 MF,0.17,60.3,55.8,2020.0,48.9,1
c5a500ca,Max Gradel,2019,MF,30.0,3240.0,Toulouse,Ligue 1,True,81.8,66.1,72.9,10.4,46.7,55.7,공격형 MF,0.28,66.3,61.0,,,0
c5a500ca,Max Gradel,2020,MF,31.0,1635.0,Toulouse,Ligue 1,True,60.5,58.5,61.6,13.3,37.8,47.3,볼 운반형,0.13,50.5,48.9,,,0
c5adc293,Faouzi Ghoulam,2018,DF,26.0,985.0,Napoli,Serie A,True,83.3,97.0,98.9,52.3,46.1,65.0,공격형 풀백,0.3,79.2,72.1,,,0
c5adc293,Faouzi Ghoulam,2019,DF,27.0,1154.0,Napoli,Serie A,True,84.7,80.0,96.6,43.4,42.4,57.7,공격형 풀백,0.04,71.6,64.6,,,0
c5b7c315,Michael Keane,2018,DF,24.0,2560.0,Everton,Premier League,True,49.4,32.1,20.7,58.5,76.7,56.3,스토퍼,2.93,65.8,61.0,2021.0,57.9,1
c5b7c315,Michael Keane,2019,DF,25.0,2969.0,Everton,Premier League,True,69.2,40.8,24.6,52.6,73.1,56.5,스토퍼,3.07,63.7,60.1,2022.0,53.7,1
c5b7c315,Michael Keane,2020,DF,26.0,2559.0,Everton,Premier League,True,61.8,37.7,25.0,66.8,70.6,58.1,스토퍼,2.09,65.2,61.6,2022.0,53.7,1
c5fa58ea,Pedro Mosquera,2018,MF,29.0,1396.0,La Coruña,La Liga,True,44.3,46.3,31.9,51.0,72.3,47.9,수비형 파괴자,0.33,59.6,53.8,2021.0,47.8,1
c5fd13e9,Ömer Toprak,2018,DF,28.0,2020.0,Dortmund,Bundesliga,True,52.8,70.2,38.1,62.7,71.2,64.7,빌드업 수비수,0.14,64.1,64.4,2021.0,55.2,1
c6056d58,Kamil Glik,2018,DF,29.0,3240.0,Monaco,Ligue 1,True,75.8,40.9,29.7,63.4,45.2,48.9,빌드업 수비수,0.28,49.1,49.0,2021.0,51.0,1
c6056d58,Kamil Glik,2019,DF,30.0,2970.0,Monaco,Ligue 1,True,44.2,45.6,20.8,71.8,42.5,48.4,스토퍼,0.6,49.8,49.1,2021.0,51.0,1
c6056d58,Kamil Glik,2020,DF,31.0,2070.0,Monaco,Ligue 1,True,60.1,19.4,14.7,79.2,54.4,49.9,스토퍼,0.81,56.5,53.2,,,0
c61f1719,James Collins,2018,DF,33.0,1050.0,West Ham,Premier League,True,50.8,16.9,17.5,37.7,64.2,42.8,스토퍼,3.98,51.5,47.2,,,0
c650629d,Younousse Sankharé,2018,MF,27.0,1881.0,Bordeaux,Ligue 1,True,73.3,51.3,41.4,62.9,25.2,51.0,공격형 MF,0.1,54.8,52.9,,,0
c650629d,Younousse Sankharé,2019,MF,28.0,1476.0,Bordeaux,Ligue 1,True,53.8,50.8,52.0,35.2,30.7,45.3,볼 운반형,0.88,47.0,46.2,,,0
c6637acf,Caiuby,2018,MF,29.0,2855.0,Augsburg,Bundesliga,True,73.0,46.1,59.0,16.5,58.4,48.7,공격형 MF,0.06,55.7,52.2,,,0
c6637acf,Caiuby,2019,MF,30.0,1006.0,Augsburg,Bundesliga,True,65.2,49.2,72.0,20.9,52.4,51.0,공격형 MF,1.21,58.2,54.6,,,0
c67cd65c,Rúben Vezo,2018,DF,23.0,1555.0,Valencia,La Liga,True,37.0,36.9,36.5,35.9,69.0,49.4,스토퍼,0.62,55.9,52.6,2021.0,51.6,1
c67cd65c,Rúben Vezo,2019,DF,24.0,1535.0,Levante / Valencia,La Liga,True,69.0,30.1,32.2,49.8,54.0,46.7,스토퍼,0.96,50.6,48.7,2022.0,55.8,1
c67cd65c,Rúben Vezo,2020,DF,25.0,2610.0,Levante,La Liga,True,44.8,25.6,31.9,53.8,64.5,49.8,스토퍼,1.47,56.7,53.2,2022.0,55.8,1
c6896eab,Chris Löwe,2018,DF,28.0,1588.0,Huddersfield,Premier League,True,43.9,35.5,56.5,28.5,52.3,43.0,공격형 풀백,0.7,43.9,43.4,,,0
c6896eab,Chris Löwe,2019,DF,29.0,2057.0,Huddersfield,Premier League,True,59.0,40.1,69.5,29.0,28.4,36.5,공격형 풀백,0.75,45.3,40.9,,,0
c691bfe2,Sadio Mané,2018,FW,25.0,2190.0,Liverpool,Premier League,True,77.4,87.0,86.7,44.4,53.8,75.5,돌파형 윙어,0.06,79.1,77.3,2021.0,77.2,1
c691bfe2,Sadio Mané,2019,FW,26.0,3077.0,Liverpool,Premier League,True,69.9,81.9,70.4,40.9,47.0,67.2,돌파형 윙어,0.53,70.5,68.8,2022.0,71.1,1
c691bfe2,Sadio Mané,2020,FW,27.0,2747.0,Liverpool,Premier League,True,79.7,89.9,88.4,43.0,57.3,77.6,돌파형 윙어,0.46,81.4,79.5,2022.0,71.1,1
